ea_id,com_roadtype,com_vehicles,com_bus,com_urbancenter,com_dailymrkt,com_weeklymrkt,com_postoffice,com_publicphone,com_distprimary,com_classrooms,com_schoolelec,com_medicines,com_clinic,com_distclinic,com_bank
20703316,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,No,NO,5 and above kilometers,Yes,Yes,Yes,Yes,,No
20703565,DIRT ROAD (MAINTAINED),NO,No,No,No,Yes,No,NO,3 to 5 kilometers,Yes,No,Yes,No,,No
20703595,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
20704037,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,In the community,Yes,No,Yes,No,0 to 5 kilometes,No
20704289,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
20704353,DIRT TRACK,YES,No,No,No,No,No,YES,3 to 5 kilometers,No,No,Yes,No,16 to 20 kilometers,No
20704738,DIRT TRACK,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,11 to 15 kilometers,No
20705328,DIRT ROAD (MAINTAINED),NO,No,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
20705372,DIRT TRACK,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,6 to 10 kilometers,No
20705495,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,Yes,YES,In the community,Yes,No,Yes,Yes,,No
20705652,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,3 to 5 kilometers,Yes,No,Yes,Yes,,No
20705657,GRADED GRAVELED,YES,Yes,No,Yes,Yes,No,YES,In the community,Yes,No,Yes,Yes,,No
20706163,DIRT ROAD (MAINTAINED),NO,No,No,Yes,Yes,Yes,YES,3 to 5 kilometers,Yes,No,Yes,Yes,,No
20706294,TAR/ASPHALT,YES,Yes,Yes,Yes,Yes,No,YES,3 to 5 kilometers,Yes,Yes,Yes,Yes,,No
20720368,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,No,No,YES,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
20801046,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
20801208,DIRT ROAD (MAINTAINED),NO,Yes,No,No,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
20801271,GRADED GRAVELED,NO,No,No,No,Yes,No,NO,Under 2 kilometers,No,No,Yes,Yes,,No
20801356,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
20801497,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,No,Yes,,No
20802019,DIRT ROAD (MAINTAINED),NO,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
20802041,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,11 to 15 kilometers,No
20802501,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,No,YES,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
20803155,GRADED GRAVELED,YES,No,No,No,No,No,NO,3 to 5 kilometers,No,No,Yes,No,11 to 15 kilometers,No
20803156,GRADED GRAVELED,YES,No,No,No,No,No,NO,3 to 5 kilometers,No,No,Yes,No,26 to 30 kilometers,No
20803503,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,In the community,Yes,No,Yes,No,6 to 10 kilometers,No
20803599,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
20803731,TAR/ASPHALT,YES,Yes,Yes,No,No,No,NO,5 and above kilometers,Yes,Yes,No,No,6 to 10 kilometers,No
20804405,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
20804768,GRADED GRAVELED,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
20805345,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
20806131,DIRT ROAD (MAINTAINED),NO,Yes,No,No,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,Yes,,No
20806546,GRADED GRAVELED,YES,Yes,No,No,No,No,YES,Under 2 kilometers,No,No,No,No,6 to 10 kilometers,No
20806716,GRADED GRAVELED,YES,Yes,No,No,No,No,YES,5 and above kilometers,No,No,Yes,Yes,,No
20807711,GRADED GRAVELED,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
20807727,TAR/ASPHALT,YES,Yes,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
20807728,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,,No,Yes,No,11 to 15 kilometers,No
20808421,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,Yes,,Yes
20820318,GRADED GRAVELED,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,Yes,Yes,Yes,,Yes
20901232,GRADED GRAVELED,YES,Yes,No,Yes,Yes,Yes,YES,5 and above kilometers,Yes,No,Yes,Yes,,No
20901276,GRADED GRAVELED,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
20902437,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
20902449,TAR/ASPHALT,YES,Yes,No,No,No,No,YES,5 and above kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
20902461,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
20903543,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
20903583,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
20904018,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
20904160,TAR/ASPHALT,YES,Yes,No,No,Yes,Yes,YES,3 to 5 kilometers,Yes,No,No,Yes,,No
20904342,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
20904602,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
